  Method         n  total_time_s  samples_per_second  time_per_sample_s_per_n
  Python       100      0.000031        3.205981e+06             3.119170e-07
  Python      1000      0.000317        3.155611e+06             3.168958e-07
  Python     10000      0.003189        3.136070e+06             3.188704e-07
  Python    100000      0.032588        3.068644e+06             3.258768e-07
  Python   1000000      0.342001        2.923972e+06             3.420005e-07
  Python  10000000      3.271650        3.056561e+06             3.271650e-07
  Python 100000000     32.229948        3.102704e+06             3.222995e-07
   NumPy       100      0.000006        1.578931e+07             6.333401e-08
   NumPy      1000      0.000012        8.252998e+07             1.211681e-08
   NumPy     10000      0.000076        1.316077e+08             7.598340e-09
   NumPy    100000      0.001639        6.102367e+07             1.638708e-08
   NumPy   1000000      0.007981        1.253002e+08             7.980833e-09
   NumPy  10000000      0.079966        1.250532e+08             7.996594e-09
   NumPy 100000000      0.843720        1.185228e+08             8.437198e-09
   Numba       100      0.000001        7.642903e+07             1.308403e-08
   Numba      1000      0.000009        1.111111e+08             8.999999e-09
   Numba     10000      0.000088        1.133358e+08             8.823341e-09
   Numba    100000      0.000891        1.122408e+08             8.909418e-09
   Numba   1000000      0.008870        1.127382e+08             8.870108e-09
   Numba  10000000      0.088986        1.123766e+08             8.898649e-09
   Numba 100000000      0.887965        1.126171e+08             8.879649e-09
Parallel       100      0.000062        1.624917e+06             6.154160e-07
Parallel      1000      0.000049        2.024636e+07             4.939160e-08
Parallel     10000      0.000061        1.638673e+08             6.102499e-09
Parallel    100000      0.000133        7.500930e+08             1.333168e-09
Parallel   1000000      0.000943        1.060633e+09             9.428332e-10
Parallel  10000000      0.008699        1.149559e+09             8.698992e-10
Parallel 100000000      0.080816        1.237382e+09             8.081581e-10
     C++       100      0.006011        1.663654e+04             6.010867e-05
     C++      1000      0.004717        2.120201e+05             4.716533e-06
     C++     10000      0.004084        2.448450e+06             4.084217e-07
     C++    100000      0.004621        2.164100e+07             4.620858e-08
     C++   1000000      0.012988        7.699331e+07             1.298814e-08
     C++  10000000      0.095642        1.045566e+08             9.564195e-09
     C++ 100000000      0.921285        1.085440e+08             9.212853e-09
  Cython       100      0.000002        4.461099e+07             2.241600e-08
  Cython      1000      0.000016        6.182380e+07             1.617500e-08
  Cython     10000      0.000162        6.163017e+07             1.622582e-08
  Cython    100000      0.001535        6.516710e+07             1.534517e-08
  Cython   1000000      0.013558        7.375678e+07             1.355808e-08
  Cython  10000000      0.133262        7.504014e+07             1.332620e-08
  Cython 100000000      1.321137        7.569239e+07             1.321137e-08
